127.0.0.1 - - [17/May/2020:14:27:15 +0200] "GET / HTTP/1.1" 404 637
0:0:0:0:0:0:0:1 - - [17/May/2020:14:27:17 +0200] "GET /Trabajo_IW/Vistas/Formulario%20Expansion.jsp HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [17/May/2020:14:27:17 +0200] "GET /Trabajo_IW/Vistas/p2.js HTTP/1.1" 404 668
0:0:0:0:0:0:0:1 - - [17/May/2020:14:27:17 +0200] "GET /Trabajo_IW/CSS/wf2.1.css HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [17/May/2020:14:27:41 +0200] "GET /Trabajo_IW/Vistas/Formulario%20Expansion.jsp HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [17/May/2020:14:27:41 +0200] "GET /Trabajo_IW/Vistas/p2.js HTTP/1.1" 404 668
0:0:0:0:0:0:0:1 - - [17/May/2020:14:28:01 +0200] "GET /Trabajo_IW/Vistas/Formulario%20Expansion.jsp HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [17/May/2020:14:28:01 +0200] "GET /Trabajo_IW/CSS/wf2.1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:28:01 +0200] "GET /Trabajo_IW/Vistas/p2.js HTTP/1.1" 404 668
0:0:0:0:0:0:0:1 - - [17/May/2020:14:29:03 +0200] "GET /Trabajo_IW/Vistas/Formulario%20Expansion.jsp HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [17/May/2020:14:29:03 +0200] "GET /Trabajo_IW/CSS/wf2.1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:29:03 +0200] "GET /Trabajo_IW/Vistas/p2.js HTTP/1.1" 404 668
0:0:0:0:0:0:0:1 - - [17/May/2020:14:32:33 +0200] "GET /Trabajo_IW/Vistas/Usuario.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [17/May/2020:14:32:33 +0200] "GET /Trabajo_IW/img/logo.PNG HTTP/1.1" 200 5608
0:0:0:0:0:0:0:1 - - [17/May/2020:14:32:33 +0200] "GET /Trabajo_IW/img/profile-42914_960_720.png HTTP/1.1" 200 25625
0:0:0:0:0:0:0:1 - - [17/May/2020:14:32:33 +0200] "GET /Trabajo_IW/CSS/wf4.0.css HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [17/May/2020:14:32:33 +0200] "GET /Trabajo_IW/CSS/header.css HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [17/May/2020:14:33:24 +0200] "GET /Trabajo_IW/Vistas/Usuario.jsp HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [17/May/2020:14:33:24 +0200] "GET /Trabajo_IW/img/logo.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:33:24 +0200] "GET /Trabajo_IW/img/profile-42914_960_720.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:33:24 +0200] "GET /Trabajo_IW/CSS/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:33:24 +0200] "GET /Trabajo_IW/CSS/wf4.0.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:33:58 +0200] "GET /Trabajo_IW/Vistas/Usuario.jsp HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [17/May/2020:14:33:58 +0200] "GET /Trabajo_IW/img/logo.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:33:58 +0200] "GET /Trabajo_IW/img/profile-42914_960_720.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:33:58 +0200] "GET /Trabajo_IW/CSS/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:33:58 +0200] "GET /Trabajo_IW/CSS/wf4.0.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:34:14 +0200] "GET /Trabajo_IW/Vistas/Usuario.jsp HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [17/May/2020:14:34:14 +0200] "GET /Trabajo_IW/img/logo.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:34:14 +0200] "GET /Trabajo_IW/img/profile-42914_960_720.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:34:14 +0200] "GET /Trabajo_IW/CSS/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:34:14 +0200] "GET /Trabajo_IW/CSS/wf4.0.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:35:37 +0200] "GET /Trabajo_IW/Vistas/Usuario.jsp HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [17/May/2020:14:35:37 +0200] "GET /Trabajo_IW/img/profile-42914_960_720.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:35:37 +0200] "GET /Trabajo_IW/img/logo.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:35:37 +0200] "GET /Trabajo_IW/CSS/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:14:35:37 +0200] "GET /Trabajo_IW/CSS/wf.css HTTP/1.1" 200 142
