0:0:0:0:0:0:0:1 - - [27/May/2020:16:44:08 +0200] "GET /Trabajo_IW/Vistas/Home%20Reservas.jsp HTTP/1.1" 200 2036
0:0:0:0:0:0:0:1 - - [27/May/2020:16:46:42 +0200] "POST /Trabajo_IW/Controlador/loginControl.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:46:42 +0200] "GET /Trabajo_IW/Home%20(Admin).jsp HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [27/May/2020:16:46:44 +0200] "GET /Trabajo_IW/Vistas/Home%20Reservas.jsp HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [27/May/2020:16:46:46 +0200] "GET /Trabajo_IW/Vistas/Home%20Prestamos.jsp HTTP/1.1" 200 6516
0:0:0:0:0:0:0:1 - - [27/May/2020:16:47:47 +0200] "POST /Trabajo_IW/Controlador/loginControl.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:47:47 +0200] "GET /Trabajo_IW/Home%20(Admin).jsp HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [27/May/2020:16:47:48 +0200] "GET /Trabajo_IW/Vistas/Home%20Prestamos.jsp HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [27/May/2020:16:47:50 +0200] "GET /Trabajo_IW/Controlador/Prestamo.jsp?titulo=Harry_Potter&usuario=i72frpeu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:47:51 +0200] "GET /Trabajo_IW/Vistas/Prestamo%20(Admin).jsp HTTP/1.1" 200 1931
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:00 +0200] "GET /Trabajo_IW/Vistas/Cancelar%20Prestamo.jsp HTTP/1.1" 404 686
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:07 +0200] "GET /Trabajo_IW/Vistas/Prestamo%20(Admin).jsp HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:07 +0200] "GET /Trabajo_IW/CSS/wf6.0.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:09 +0200] "GET /Trabajo_IW/Controlador/Cancelar%20Prestamo.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:09 +0200] "GET /Trabajo_IW/Vistas/Home%20Prestamos.jsp HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:18 +0200] "POST /Trabajo_IW/Controlador/loginControl.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:18 +0200] "GET /Trabajo_IW/Home%20(Admin).jsp HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:19 +0200] "GET /Trabajo_IW/Vistas/Home%20Prestamos.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:20 +0200] "GET /Trabajo_IW/Controlador/Prestamo.jsp?titulo=Harry_Potter&usuario=i72frpeu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:20 +0200] "GET /Trabajo_IW/Vistas/Prestamo%20(Admin).jsp HTTP/1.1" 200 1946
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:22 +0200] "GET /Trabajo_IW/Controlador/Cancelar%20Prestamo.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:22 +0200] "GET /Trabajo_IW/Vistas/Home%20Prestamos.jsp HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:29 +0200] "GET /Trabajo_IW/Vistas/Home%20Prestamos.jsp HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:30 +0200] "GET /Trabajo_IW/Vistas/Home%20Reservas.jsp HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:31 +0200] "GET /Trabajo_IW/Vistas/Home%20Prestamos.jsp HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:35 +0200] "GET /Trabajo_IW/Controlador/Home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:35 +0200] "GET /Trabajo_IW/Home%20(Admin).jsp HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [27/May/2020:16:52:36 +0200] "GET /Trabajo_IW/Vistas/Home%20Reservas.jsp HTTP/1.1" 200 2242
